Addresses	Ripple Name	Currency Issuer?
razqQKzJRdB4UxFPWf5NEpEG3WMkmwgcXA	~RippleChina	yes
rLEsXccBGNR3UPuPu2hUXPjziKC3qKSBun	~therock	yes
rhAkemed7gsh8jj1rfoxrTYBvaVnrXh7cw	~Dollero	yes
		
		
rDWiZqznju5jNTgAUEMB9zjnf7sNLZ9Djv	~DolleroHot	No Transactions
r3ADD8kXSUKHd6zTCKfnKT3zV9EZHjzp1S	~RippleUnion	yes
rJHygWcTLVpSXkowott6kzgZU6viQSVYM1	~justcoin-hot	yes
rEUNavLM2NPpLW8dKqk3BRhXcZk5Hv7dhj	~xrpio	yes
r9Dr5xwkeLegBeXq6ujinjSBLQzQ1zQGjH	~RippleSingapore	yes
		
rLY756emTwXHdTaT5Lwrjv4zgy6gfQ84xz	~RippleEgyptCold	yes
		
		
rG6FZ31hDHN1K5Dkbma3PSB5uVCuVVRzfn	~bitso	yes
ruazs5h1qEsqpke88pcqnaseXdm6od2xc	~geckocoin	yes
		
rPDXxSZcuVL3ZWoyU82bcde3zwvmShkRyF	~wisepass	yes
		
rNPRNzBB92BVpAhhZr4iXDTveCgV5Pofm9	~PayRoutes	yes
		
		
		
		
		
rMjTFFewweaqgNjUBLnGC2p9qA8UuEEGpj	~zvi	
		
rMAz5ZnK73nyNUL4foAvaxdreczCkG3vA6	~RippleTradeJapan	yes
rNVAAqSBjqobjZCZvSPpxg1NC6tsznKg5T	~InterWallet	No Transactions
	~Telenor	
	~Telenor-Hot	
	~Telenor-Cold	
		
rMwjYedjc7qqtKYVLiAccJSmCwih4LnE2q	~snapswap	yes
		
		
		
		
		
		
		
		
		
		
		
rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B	~Bitstamp	yes
		
ra98sfbmYvVF9AQWKS3sjDBBNwQE85k2pE	~ripplewise	yes
rJypGvB8H2JBj1QVYofUTU8kFtWLspNWqs	~senderas	N/A
rnk41oGrSyXoWVWtyja11UQBpeVXQNeRVP	~senderas-hot	N/A
rn1DfqeRZKyxoCRNCQy4YTRjVkW2vP7jUo	~senderas-cold	N/A
	~netmint	
	~rippex	
	~rippexbox	
	~rippexhub	
	~rippexbiz	
	~rippexmint	
	~Rafael	
	~Jan	
	~Patrick	
	~Layla	
	~Rubia	
	~Paula	
	~Taka	
	~ripplebrasil	
	~RippleLATAM	
	~RippleLATAM-Hot	
	~RippleLATAM-Cld	
	~LATAM	
	~Brazil	I didnt give them an option to reserve this name
	~Mexico	I didnt give them an option to reserve this name
	~Chile	I didnt give them an option to reserve this name
	~Diestel	
	~Diestel-hot	
	~Diestel-warm	
	~GatewayPX	
	~GatewayPX-hot	
	~GatewayPX-warm	
	~GatewayMexico	
	~GatewayMexico-hot	
	~GatewayMexico-warm	
	~Mexico	
	~Mexico-hot	
	~Mexico-warm	
rp2PaYDxVwDvaZVLEQv7bHhoFQEyX1mEx7	~p2pay	yes
rP2PAbh8mCHxHVmi4329ha6DbZjb1fUcd2	~p2pay-Hot	no
rp2PaYDxVwDvaZVLEQv7bHhoFQEyX1mEx7	~p2pay-Cold	yes
	WorldWideMarkets	
	WorldWideMarketsXRP	
	WWMOnlineTrading	
	WWMGateway	
	WWMRippleGateway	
	WWMXRPGateway	
	WWMCryptoGateway	
	WWMRippleExchange	
	WWMXRPExchange	
	WWMCryptoExchange	
	RippleGateway	I didnt give them an option to reserve this name
	RippleExchange	I didnt give them an option to reserve this name
	CryptoExchange	
	CryptoGateway	
	WorldWideMarketsHot	
	WorldWideMarketsCold	
	EllipticTrading	
	EllipticGateway	
rPxjgrSQRY8fKSykB8oBZEMLq6xa7zSD7f	~marqeta-test	No Transactions
rQDxh7Jbt1SfU9vC7JqAUCY2cD7Ntw66tF	~marqeta-cold	No Transactions
rBU45Lho5yW1yV6schrZQtsKk7tqAnhvTK	~marqeta-hot	No Transactions
rDcdt5ALjSFvhmsMhhuQSLzBtYTTcQpTFt	~marqeta-inc	No Transactions
rGJoUn1727wEforKemznvJNmZZfYEUae7z	~marqeta	No Transactions
rGDWKWni6exeneJdNbEZ3nVX3Rrw5VG1p1	~goodwill	yes
rBWay8KRdmroZra4DTXi6h5cLtPhs5mH7v	~bob	no
rnuF96W4SZoCJmbHYBFoJZpR8eCaxNvekK	~RippleCN	yes
rNaptDNfFXo1quhKwMaNPf66iwPqA8YLky	~RippleCN-hot	no
rno91tGDJeRcnM7EMXj8KG9UTyxRGMMz8s	~RippleCN-hot2	no
	~RippleCN-cold	
	~Rebopay	
	~Rebopay-hot	
	~Rebopay-cold	
rsP3mgGb2tcYUrxiLFiHJiQXhsziegtwBc	~CoinX	yes
	~CoinX-Hot	
	~CoinX-Cold	
rsP3mgGb2tcYUrxiLFiHJiQXhsziegtwBc	~Coinex	yes
rGAmy1w1ENyTJ9BCAEicYyRM2Yk1iWZ7Z5	~viaCoinex	no